Time to vote:2054.17ms
i:527 p:2950 n:178 a:21
i:528 p:3225 n:238 a:21
i:529 p:3039 n:286 a:23
i:530 p:2704 n:89 a:18
i:531 p:2703 n:87 a:18
i:532 p:2192 n:137 a:5
i:533 p:3353 n:244 a:23
i:534 p:2550 n:175 a:24
i:535 p:2442 n:314 a:21
i:536 p:2098 n:235 a:15
i:537 p:1675 n:220 a:26
i:538 p:1572 n:179 a:28
i:539 p:2080 n:276 a:23
i:540 p:665 n:169 a:11
i:541 p:1576 n:498 a:11
i:542 p:2084 n:185 a:26
i:543 p:1654 n:115 a:15
i:544 p:3354 n:254 a:7
i:545 p:2943 n:221 a:8
i:546 p:1827 n:232 a:11
i:547 p:2977 n:159 a:17
i:548 p:3149 n:198 a:8
i:549 p:3230 n:227 a:8
i:550 p:3226 n:290 a:9
i:551 p:3100 n:131 a:3
i:552 p:3245 n:237 a:3
i:553 p:2220 n:207 a:3
i:554 p:1696 n:251 a:27
i:555 p:1699 n:224 a:28
i:556 p:2097 n:240 a:15
i:557 p:1956 n:290 a:24
i:558 p:1827 n:318 a:26
i:559 p:2172 n:309 a:3
i:560 p:1829 n:363 a:23
i:561 p:1989 n:283 a:24
i:562 p:2085 n:249 a:25
i:563 p:3535 n:245 a:21
i:564 p:3515 n:251 a:20
i:565 p:3455 n:288 a:6
i:566 p:2209 n:154 a:12
i:567 p:1827 n:185 a:9
i:568 p:2657 n:135 a:19
i:569 p:2600 n:224 a:20
i:570 p:1827 n:69 a:13
i:571 p:3082 n:144 a:3
i:572 p:3159 n:201 a:3
i:573 p:2310 n:144 a:18
i:574 p:2247 n:91 a:10
i:575 p:1665 n:186 a:26
i:576 p:1842 n:260 a:25
i:577 p:1698 n:345 a:29
i:578 p:1956 n:308 a:25
i:579 p:1931 n:312 a:25
i:580 p:1728 n:119 a:26
i:581 p:1654 n:164 a:16
i:582 p:2193 n:294 a:5
i:583 p:2230 n:163 a:7
i:584 p:2001 n:291 a:25
i:585 p:3582 n:286 a:13
i:586 p:3625 n:379 a:9
i:587 p:3535 n:405 a:21
i:588 p:2259 n:192 a:25
i:589 p:2249 n:131 a:8
i:590 p:2816 n:123 a:9
i:591 p:2603 n:185 a:22
i:592 p:2992 n:143 a:9
i:593 p:2889 n:133 a:8
i:594 p:1529 n:79 a:6
i:595 p:1646 n:213 a:18
i:596 p:2064 n:198 a:21
i:597 p:2934 n:225 a:2
i:598 p:1920 n:316 a:25
i:599 p:745 n:232 a:18
i:600 p:2080 n:327 a:25
i:601 p:2002 n:196 a:14
i:602 p:1801 n:257 a:24
i:603 p:2200 n:290 a:5
i:604 p:667 n:197 a:5
i:605 p:654 n:198 a:6
i:606 p:2254 n:230 a:22
i:607 p:3610 n:430 a:17
i:608 p:976 n:289 a:11
i:609 p:2246 n:194 a:8
i:610 p:2212 n:147 a:12
i:611 p:2206 n:176 a:15
i:612 p:1454 n:102 a:12
i:613 p:2879 n:115 a:11
i:614 p:309 n:100 a:1
i:615 p:2134 n:89 a:8
i:616 p:1696 n:222 a:24
i:617 p:750 n:239 a:22
i:618 p:1945 n:225 a:14
i:619 p:1739 n:270 a:29
i:620 p:2080 n:386 a:25
i:621 p:1651 n:460 a:21
i:622 p:1801 n:280 a:24
i:623 p:1605 n:182 a:11
i:624 p:1864 n:153 a:24
i:625 p:20 n:79 a:17
i:626 p:1787 n:340 a:11
i:627 p:979 n:288 a:12
i:628 p:2132 n:183 a:26
i:629 p:2206 n:299 a:15
i:630 p:2246 n:188 a:3
i:631 p:1856 n:114 a:24
i:632 p:1635 n:155 a:27
i:633 p:605 n:114 a:20
i:634 p:885 n:149 a:15
i:635 p:3060 n:301 a:1
i:636 p:2065 n:218 a:23
i:637 p:1920 n:202 a:27
i:638 p:1959 n:348 a:27
i:639 p:1920 n:231 a:16
i:640 p:1945 n:277 a:26
i:641 p:1589 n:171 a:14
i:642 p:1660 n:331 a:18
i:643 p:1759 n:346 a:22
i:644 p:2687 n:115 a:8
i:645 p:2098 n:323 a:23
i:646 p:2231 n:338 a:18
i:647 p:3113 n:136 a:9
i:648 p:2246 n:193 a:3
i:649 p:1379 n:124 a:1
i:650 p:1761 n:248 a:17
i:651 p:750 n:232 a:12
i:652 p:750 n:290 a:20
i:653 p:1945 n:269 a:16
i:654 p:1716 n:311 a:11
i:655 p:2093 n:98 a:5
i:656 p:2099 n:435 a:3
i:657 p:1727 n:197 a:21
i:658 p:1802 n:181 a:24
i:659 p:2230 n:152 a:11
i:660 p:588 n:106 a:7
i:661 p:2134 n:138 a:3
i:662 p:2002 n:87 a:3
i:663 p:2997 n:202 a:1
i:664 p:2901 n:103 a:25
i:665 p:1575 n:227 a:5
i:666 p:487 n:141 a:4
i:667 p:3597 n:132 a:23
i:668 p:3259 n:306 a:1
i:669 p:751 n:220 a:19
i:670 p:2097 n:335 a:23
i:671 p:750 n:220 a:17
i:672 p:1761 n:167 a:18
i:673 p:2093 n:514 a:1
i:674 p:1813 n:396 a:23
i:675 p:1439 n:88 a:13
i:676 p:1866 n:93 a:20
i:677 p:1664 n:377 a:18
i:678 p:817 n:100 a:23
i:679 p:2026 n:464 a:13
i:680 p:861 n:143 a:21
i:681 p:547 n:416 a:5
i:682 p:1657 n:327 a:9
i:683 p:547 n:301 a:4
i:684 p:751 n:296 a:12
i:685 p:751 n:332 a:12
i:686 p:2000 n:114 a:3
i:687 p:2097 n:330 a:1
i:688 p:1810 n:95 a:8
i:689 p:1808 n:71 a:8
i:690 p:1999 n:162 a:12
i:691 p:768 n:95 a:29
i:692 p:775 n:137 a:27
i:693 p:1704 n:203 a:24
i:694 p:193 n:311 a:21
i:695 p:221 n:442 a:20
i:696 p:2098 n:281 a:29
i:697 p:1654 n:183 a:11
i:698 p:528 n:92 a:11
i:699 p:1635 n:100 a:15
i:700 p:1747 n:205 a:24
i:701 p:733 n:165 a:18
i:702 p:2905 n:126 a:24
i:703 p:2710 n:142 a:9
i:704 p:1605 n:78 a:18
i:705 p:2101 n:146 a:22
i:706 p:1503 n:7 a:20
i:707 p:2033 n:116 a:10
i:708 p:2166 n:302 a:8
i:709 p:984 n:232 a:23
i:710 p:2946 n:136 a:10
i:711 p:790 n:106 a:28
i:712 p:2168 n:331 a:22
i:713 p:1067 n:7 a:1
i:714 p:1605 n:152 a:20
i:715 p:1605 n:101 a:8

