Time to vote:3010.43ms
i:478 p:3390 n:1064 a:18
i:479 p:3581 n:1237 a:29
i:480 p:3523 n:1216 a:18
i:481 p:3390 n:1067 a:18
i:482 p:3493 n:945 a:18
i:483 p:3462 n:922 a:19
i:484 p:1908 n:1077 a:21
i:485 p:1908 n:954 a:21
i:486 p:1908 n:790 a:21
i:487 p:2068 n:619 a:3
i:488 p:1700 n:676 a:15
i:489 p:1701 n:668 a:15
i:490 p:1788 n:588 a:15
i:491 p:789 n:341 a:12
i:492 p:3502 n:546 a:20
i:493 p:3552 n:401 a:25
i:494 p:3583 n:1277 a:18
i:495 p:3583 n:1359 a:18
i:496 p:3553 n:1287 a:18
i:497 p:3583 n:1257 a:18
i:498 p:3586 n:1115 a:6
i:499 p:1853 n:615 a:15
i:500 p:236 n:521 a:24
i:501 p:262 n:485 a:24
i:502 p:1931 n:629 a:14
i:503 p:405 n:534 a:9
i:504 p:1790 n:537 a:0
i:505 p:1678 n:494 a:1
i:506 p:661 n:570 a:7
i:507 p:3066 n:393 a:2
i:508 p:3085 n:381 a:2
i:509 p:3502 n:512 a:20
i:510 p:3569 n:404 a:18
i:511 p:3295 n:412 a:6
i:512 p:3583 n:1272 a:18
i:513 p:475 n:1120 a:1
i:514 p:3625 n:1010 a:27
i:515 p:3625 n:1047 a:28
i:516 p:1700 n:502 a:1
i:517 p:1761 n:411 a:29
i:518 p:1733 n:553 a:0
i:519 p:420 n:739 a:9
i:520 p:1673 n:549 a:0
i:521 p:1667 n:726 a:0
i:522 p:2035 n:632 a:16
i:523 p:474 n:744 a:9
i:524 p:593 n:671 a:9
i:525 p:2067 n:738 a:16
i:526 p:514 n:793 a:9
i:527 p:629 n:799 a:8
i:528 p:612 n:832 a:8
i:529 p:2930 n:279 a:3
i:530 p:3571 n:302 a:7
i:531 p:3571 n:320 a:7
i:532 p:2835 n:185 a:1
i:533 p:3502 n:399 a:20
i:534 p:3565 n:362 a:18
i:535 p:3565 n:443 a:18
i:536 p:3625 n:1251 a:27
i:537 p:3625 n:1299 a:27
i:538 p:3627 n:913 a:21
i:539 p:1648 n:329 a:22
i:540 p:1648 n:370 a:22
i:541 p:816 n:467 a:28
i:542 p:1700 n:672 a:29
i:543 p:555 n:707 a:9
i:544 p:514 n:812 a:9
i:545 p:752 n:675 a:24
i:546 p:629 n:913 a:9
i:547 p:629 n:932 a:9
i:548 p:2137 n:486 a:5
i:549 p:2137 n:482 a:27
i:550 p:3571 n:228 a:7
i:551 p:3571 n:347 a:7
i:552 p:3567 n:303 a:10
i:553 p:3567 n:326 a:10
i:554 p:3571 n:281 a:7
i:555 p:3571 n:216 a:7
i:556 p:49 n:644 a:22
i:557 p:723 n:479 a:22
i:558 p:3565 n:395 a:18
i:559 p:3361 n:484 a:21
i:560 p:2187 n:287 a:5
i:561 p:3628 n:564 a:13
i:562 p:3622 n:1140 a:13
i:563 p:3627 n:758 a:21
i:564 p:3625 n:721 a:28
i:565 p:3595 n:649 a:8
i:566 p:3583 n:534 a:20
i:567 p:639 n:363 a:6
i:568 p:3616 n:550 a:13
i:569 p:1648 n:337 a:22
i:570 p:1953 n:493 a:5
i:571 p:2039 n:483 a:7
i:572 p:1638 n:394 a:2
i:573 p:1793 n:498 a:1
i:574 p:1959 n:446 a:4
i:575 p:1638 n:458 a:22
i:576 p:1959 n:539 a:5
i:577 p:3567 n:329 a:10
i:578 p:3567 n:351 a:10
i:579 p:2257 n:193 a:17
