i:1420 idy_max:3623 MaxAccum:1438
i:1425 idy_max:1051 MaxAccum:402
i:1430 idy_max:2303 MaxAccum:363
i:1435 idy_max:1522 MaxAccum:411
i:1440 idy_max:2429 MaxAccum:385
i:1445 idy_max:2263 MaxAccum:365
i:1450 idy_max:1051 MaxAccum:537
i:1455 idy_max:1730 MaxAccum:511
i:1460 idy_max:3625 MaxAccum:375
i:1465 idy_max:1730 MaxAccum:547
i:1470 idy_max:570 MaxAccum:512
i:1475 idy_max:1115 MaxAccum:402
i:1480 idy_max:781 MaxAccum:317
i:1485 idy_max:2309 MaxAccum:464
i:1490 idy_max:488 MaxAccum:304
i:1495 idy_max:467 MaxAccum:243
i:1500 idy_max:2167 MaxAccum:409
i:1505 idy_max:528 MaxAccum:200
i:1510 idy_max:3627 MaxAccum:851
i:1515 idy_max:3390 MaxAccum:1113
i:1520 idy_max:3316 MaxAccum:1136
i:1525 idy_max:3578 MaxAccum:1205
i:1530 idy_max:3460 MaxAccum:949
i:1535 idy_max:3623 MaxAccum:1153
i:1540 idy_max:1051 MaxAccum:355
i:1545 idy_max:2299 MaxAccum:377
i:1550 idy_max:2115 MaxAccum:446
i:1555 idy_max:976 MaxAccum:603
i:1560 idy_max:975 MaxAccum:593
i:1565 idy_max:790 MaxAccum:505
i:1570 idy_max:790 MaxAccum:567
i:1575 idy_max:3009 MaxAccum:356
i:1580 idy_max:766 MaxAccum:344
i:1585 idy_max:2787 MaxAccum:406
i:1590 idy_max:2308 MaxAccum:415
i:1595 idy_max:1570 MaxAccum:409
i:1600 idy_max:2059 MaxAccum:185
i:1605 idy_max:528 MaxAccum:398
i:1610 idy_max:3463 MaxAccum:1114
i:1615 idy_max:3432 MaxAccum:1152
i:1620 idy_max:3348 MaxAccum:1249
i:1625 idy_max:3316 MaxAccum:1259
i:1630 idy_max:3578 MaxAccum:1222
i:1635 idy_max:3419 MaxAccum:1036
i:1640 idy_max:2307 MaxAccum:359
i:1645 idy_max:2551 MaxAccum:441
i:1650 idy_max:976 MaxAccum:503
i:1655 idy_max:2178 MaxAccum:443
i:1660 idy_max:790 MaxAccum:446
i:1665 idy_max:764 MaxAccum:499
i:1670 idy_max:1115 MaxAccum:477
i:1675 idy_max:1052 MaxAccum:459
i:1680 idy_max:1052 MaxAccum:412
i:1685 idy_max:2186 MaxAccum:418
i:1690 idy_max:2004 MaxAccum:362
i:1695 idy_max:2734 MaxAccum:306
i:1700 idy_max:2059 MaxAccum:225
i:1705 idy_max:3265 MaxAccum:825
i:1710 idy_max:3366 MaxAccum:997
i:1715 idy_max:3338 MaxAccum:1047
i:1720 idy_max:3361 MaxAccum:795
i:1725 idy_max:3582 MaxAccum:878
i:1730 idy_max:3583 MaxAccum:955
i:1735 idy_max:1332 MaxAccum:340
i:1740 idy_max:1519 MaxAccum:635
i:1745 idy_max:976 MaxAccum:392
i:1750 idy_max:429 MaxAccum:374
i:1755 idy_max:790 MaxAccum:513
i:1760 idy_max:429 MaxAccum:478
i:1765 idy_max:623 MaxAccum:247
i:1770 idy_max:752 MaxAccum:534
i:1775 idy_max:1240 MaxAccum:354
i:1780 idy_max:2878 MaxAccum:409
i:1785 idy_max:2833 MaxAccum:366
i:1790 idy_max:508 MaxAccum:454
i:1795 idy_max:3210 MaxAccum:845
i:1800 idy_max:3327 MaxAccum:838
i:1805 idy_max:3392 MaxAccum:1083
i:1810 idy_max:3262 MaxAccum:922
i:1815 idy_max:3579 MaxAccum:627
i:1820 idy_max:3579 MaxAccum:500
i:1825 idy_max:628 MaxAccum:683
i:1830 idy_max:1143 MaxAccum:344
i:1835 idy_max:1516 MaxAccum:495
i:1840 idy_max:447 MaxAccum:579
i:1845 idy_max:1635 MaxAccum:481
i:1850 idy_max:1605 MaxAccum:493
i:1855 idy_max:778 MaxAccum:610
i:1860 idy_max:2231 MaxAccum:201
i:1865 idy_max:949 MaxAccum:480
i:1870 idy_max:752 MaxAccum:444
i:1875 idy_max:900 MaxAccum:285
i:1880 idy_max:508 MaxAccum:462
i:1885 idy_max:356 MaxAccum:920
i:1890 idy_max:433 MaxAccum:1108
i:1895 idy_max:1322 MaxAccum:676
i:1900 idy_max:1648 MaxAccum:1222
i:1905 idy_max:2203 MaxAccum:1265
i:1910 idy_max:3279 MaxAccum:883
i:1915 idy_max:3247 MaxAccum:859
i:1920 idy_max:3355 MaxAccum:926
i:1925 idy_max:3306 MaxAccum:820
i:1930 idy_max:3376 MaxAccum:658
i:1935 idy_max:3444 MaxAccum:425
i:1940 idy_max:3481 MaxAccum:381
i:1945 idy_max:981 MaxAccum:520
i:1950 idy_max:981 MaxAccum:350
i:1955 idy_max:947 MaxAccum:688
i:1960 idy_max:429 MaxAccum:580
i:1965 idy_max:429 MaxAccum:718
i:1970 idy_max:429 MaxAccum:434
i:1975 idy_max:2230 MaxAccum:326
i:1980 idy_max:2230 MaxAccum:346
i:1985 idy_max:528 MaxAccum:367
i:1990 idy_max:1757 MaxAccum:442
i:1995 idy_max:901 MaxAccum:434
i:2000 idy_max:355 MaxAccum:960
i:2005 idy_max:356 MaxAccum:1433
i:2010 idy_max:357 MaxAccum:1397
i:2015 idy_max:234 MaxAccum:1142
i:2020 idy_max:1746 MaxAccum:1540
i:2025 idy_max:1648 MaxAccum:799
i:2030 idy_max:234 MaxAccum:838
i:2035 idy_max:3251 MaxAccum:807
i:2040 idy_max:3251 MaxAccum:873
i:2045 idy_max:3049 MaxAccum:743
i:2050 idy_max:3177 MaxAccum:800
i:2055 idy_max:3308 MaxAccum:500
i:2060 idy_max:3337 MaxAccum:598
i:2065 idy_max:3334 MaxAccum:740
i:2070 idy_max:2017 MaxAccum:340
i:2075 idy_max:1827 MaxAccum:426
i:2080 idy_max:1635 MaxAccum:658
i:2085 idy_max:1635 MaxAccum:479
i:2090 idy_max:320 MaxAccum:473
i:2095 idy_max:506 MaxAccum:334
i:2100 idy_max:2230 MaxAccum:341
i:2105 idy_max:2231 MaxAccum:205
i:2110 idy_max:355 MaxAccum:551
i:2115 idy_max:403 MaxAccum:806
i:2120 idy_max:1003 MaxAccum:1003
i:2125 idy_max:510 MaxAccum:886
i:2130 idy_max:297 MaxAccum:604
i:2135 idy_max:2203 MaxAccum:1138
i:2140 idy_max:10 MaxAccum:617
i:2145 idy_max:1747 MaxAccum:831
i:2150 idy_max:2866 MaxAccum:627
i:2155 idy_max:2841 MaxAccum:717
i:2160 idy_max:2976 MaxAccum:627
i:2165 idy_max:1568 MaxAccum:815
i:2170 idy_max:3022 MaxAccum:599
i:2175 idy_max:3450 MaxAccum:662
i:2180 idy_max:2234 MaxAccum:368
i:2185 idy_max:3348 MaxAccum:443
i:2190 idy_max:3259 MaxAccum:822
i:2195 idy_max:2230 MaxAccum:277
i:2200 idy_max:2234 MaxAccum:384
i:2205 idy_max:412 MaxAccum:385
i:2210 idy_max:547 MaxAccum:292
i:2215 idy_max:429 MaxAccum:596
i:2220 idy_max:638 MaxAccum:566
i:2225 idy_max:652 MaxAccum:734
i:2230 idy_max:624 MaxAccum:722
i:2235 idy_max:392 MaxAccum:1048
i:2240 idy_max:403 MaxAccum:1164
i:2245 idy_max:318 MaxAccum:1226
i:2250 idy_max:308 MaxAccum:1070
i:2255 idy_max:570 MaxAccum:635
i:2260 idy_max:2194 MaxAccum:847
i:2265 idy_max:2645 MaxAccum:572
i:2270 idy_max:1614 MaxAccum:1141
i:2275 idy_max:2866 MaxAccum:668
i:2280 idy_max:2807 MaxAccum:660
i:2285 idy_max:3450 MaxAccum:1018
i:2290 idy_max:2910 MaxAccum:573
i:2295 idy_max:1989 MaxAccum:464
i:2300 idy_max:3137 MaxAccum:863
i:2305 idy_max:2084 MaxAccum:584
i:2310 idy_max:1605 MaxAccum:371
i:2315 idy_max:527 MaxAccum:353
i:2320 idy_max:429 MaxAccum:677
i:2325 idy_max:286 MaxAccum:507
i:2330 idy_max:652 MaxAccum:680
i:2335 idy_max:347 MaxAccum:298
i:2340 idy_max:1572 MaxAccum:377
i:2345 idy_max:337 MaxAccum:742
i:2350 idy_max:260 MaxAccum:1055
i:2355 idy_max:1654 MaxAccum:595
i:2360 idy_max:609 MaxAccum:633
i:2365 idy_max:884 MaxAccum:543
i:2370 idy_max:2601 MaxAccum:647
i:2375 idy_max:3555 MaxAccum:806
i:2380 idy_max:2655 MaxAccum:665
i:2385 idy_max:2203 MaxAccum:1004
i:2390 idy_max:2855 MaxAccum:580
i:2395 idy_max:2937 MaxAccum:482
i:2400 idy_max:1799 MaxAccum:576
i:2405 idy_max:3264 MaxAccum:501
i:2410 idy_max:3103 MaxAccum:959
i:2415 idy_max:1656 MaxAccum:542
i:2420 idy_max:2155 MaxAccum:374
i:2425 idy_max:429 MaxAccum:602
i:2430 idy_max:588 MaxAccum:617
i:2435 idy_max:1664 MaxAccum:333
i:2440 idy_max:2168 MaxAccum:523
i:2445 idy_max:337 MaxAccum:1024
i:2450 idy_max:83 MaxAccum:1106
i:2455 idy_max:164 MaxAccum:1021
i:2460 idy_max:898 MaxAccum:524
i:2465 idy_max:1009 MaxAccum:680
i:2470 idy_max:2499 MaxAccum:731
i:2475 idy_max:3561 MaxAccum:1110
i:2480 idy_max:3277 MaxAccum:701
i:2485 idy_max:3571 MaxAccum:878
i:2490 idy_max:2776 MaxAccum:565
i:2495 idy_max:3617 MaxAccum:464
i:2500 idy_max:2017 MaxAccum:523
i:2505 idy_max:3208 MaxAccum:494
i:2510 idy_max:1830 MaxAccum:608
i:2515 idy_max:1656 MaxAccum:558
i:2520 idy_max:1655 MaxAccum:453
i:2525 idy_max:753 MaxAccum:693
i:2530 idy_max:2254 MaxAccum:533
i:2535 idy_max:1843 MaxAccum:664
i:2540 idy_max:1635 MaxAccum:535
i:2545 idy_max:3597 MaxAccum:547
i:2550 idy_max:753 MaxAccum:746
i:2555 idy_max:590 MaxAccum:883
i:2560 idy_max:627 MaxAccum:601
i:2565 idy_max:898 MaxAccum:684
i:2570 idy_max:3455 MaxAccum:929
i:2575 idy_max:3266 MaxAccum:729
i:2580 idy_max:3248 MaxAccum:846
i:2585 idy_max:3571 MaxAccum:1250
i:2590 idy_max:3617 MaxAccum:699
i:2595 idy_max:2772 MaxAccum:547
i:2600 idy_max:1959 MaxAccum:483
i:2605 idy_max:26 MaxAccum:639
i:2610 idy_max:2980 MaxAccum:802
i:2615 idy_max:2168 MaxAccum:606
i:2620 idy_max:2168 MaxAccum:690
i:2625 idy_max:2085 MaxAccum:439
i:2630 idy_max:2068 MaxAccum:790
i:2635 idy_max:1635 MaxAccum:541
i:2640 idy_max:1572 MaxAccum:856
i:2645 idy_max:2084 MaxAccum:538
i:2650 idy_max:1794 MaxAccum:1427
i:2655 idy_max:3628 MaxAccum:938
i:2660 idy_max:2203 MaxAccum:1322
i:2665 idy_max:2082 MaxAccum:673
i:2670 idy_max:3483 MaxAccum:947
i:2675 idy_max:3223 MaxAccum:757
i:2680 idy_max:3325 MaxAccum:1032
i:2685 idy_max:3455 MaxAccum:834
i:2690 idy_max:3184 MaxAccum:573
i:2695 idy_max:3181 MaxAccum:690
i:2700 idy_max:3081 MaxAccum:573
i:2705 idy_max:2700 MaxAccum:533
i:2710 idy_max:2850 MaxAccum:535
i:2715 idy_max:2845 MaxAccum:537
i:2720 idy_max:1858 MaxAccum:675
i:2725 idy_max:2243 MaxAccum:479
i:2730 idy_max:3171 MaxAccum:612
i:2735 idy_max:894 MaxAccum:880
i:2740 idy_max:1569 MaxAccum:663
i:2745 idy_max:3607 MaxAccum:1737
i:2750 idy_max:3595 MaxAccum:1258
i:2755 idy_max:3597 MaxAccum:1297
i:2760 idy_max:3626 MaxAccum:1003
i:2765 idy_max:2263 MaxAccum:416
i:2770 idy_max:3559 MaxAccum:1210
i:2775 idy_max:3586 MaxAccum:819
i:2780 idy_max:3558 MaxAccum:1101
i:2785 idy_max:2368 MaxAccum:902
i:2790 idy_max:3355 MaxAccum:882
i:2795 idy_max:2271 MaxAccum:962
i:2800 idy_max:3367 MaxAccum:967
i:2805 idy_max:2267 MaxAccum:657
i:2810 idy_max:3278 MaxAccum:667
i:2815 idy_max:2017 MaxAccum:533
i:2820 idy_max:109 MaxAccum:831
i:2825 idy_max:2821 MaxAccum:504
i:2830 idy_max:1852 MaxAccum:649
i:2835 idy_max:2800 MaxAccum:510
i:2840 idy_max:3003 MaxAccum:523
i:2845 idy_max:3255 MaxAccum:543
i:2850 idy_max:894 MaxAccum:954
i:2855 idy_max:3618 MaxAccum:970
i:2860 idy_max:3611 MaxAccum:1369
i:2865 idy_max:3627 MaxAccum:856
i:2870 idy_max:3625 MaxAccum:824
i:2875 idy_max:1693 MaxAccum:1764
i:2880 idy_max:3625 MaxAccum:874
i:2885 idy_max:3589 MaxAccum:1777
i:2890 idy_max:3625 MaxAccum:987
i:2895 idy_max:1727 MaxAccum:967
i:2900 idy_max:2316 MaxAccum:790
i:2905 idy_max:3617 MaxAccum:1328
i:2910 idy_max:3415 MaxAccum:796
i:2915 idy_max:3624 MaxAccum:759
i:2920 idy_max:234 MaxAccum:864
i:2925 idy_max:1658 MaxAccum:1383
i:2930 idy_max:3317 MaxAccum:826
i:2935 idy_max:2221 MaxAccum:675
i:2940 idy_max:2221 MaxAccum:714
i:2945 idy_max:2221 MaxAccum:572
i:2950 idy_max:3597 MaxAccum:964
i:2955 idy_max:2700 MaxAccum:547
i:2960 idy_max:2937 MaxAccum:450
i:2965 idy_max:825 MaxAccum:666
i:2970 idy_max:3618 MaxAccum:1143
i:2975 idy_max:3611 MaxAccum:815
i:2980 idy_max:3343 MaxAccum:1176
i:2985 idy_max:3617 MaxAccum:735
i:2990 idy_max:3338 MaxAccum:1174
i:2995 idy_max:3603 MaxAccum:947
i:3000 idy_max:973 MaxAccum:848
i:3005 idy_max:2100 MaxAccum:952
i:3010 idy_max:3607 MaxAccum:1523
i:3015 idy_max:2312 MaxAccum:790
i:3020 idy_max:2221 MaxAccum:592
i:3025 idy_max:3623 MaxAccum:757
i:3030 idy_max:1010 MaxAccum:997
i:3035 idy_max:1536 MaxAccum:649
i:3040 idy_max:2264 MaxAccum:788
i:3045 idy_max:1853 MaxAccum:585
i:3050 idy_max:2221 MaxAccum:613
i:3055 idy_max:3611 MaxAccum:518
i:3060 idy_max:497 MaxAccum:766
i:3065 idy_max:1526 MaxAccum:545
i:3070 idy_max:3606 MaxAccum:805
i:3075 idy_max:3588 MaxAccum:935
i:3080 idy_max:3355 MaxAccum:1226
i:3085 idy_max:3311 MaxAccum:734
i:3090 idy_max:3351 MaxAccum:1304
i:3095 idy_max:3315 MaxAccum:1377
i:3100 idy_max:3279 MaxAccum:1035
i:3105 idy_max:3607 MaxAccum:1352
i:3110 idy_max:3606 MaxAccum:587
i:3115 idy_max:2126 MaxAccum:739
i:3120 idy_max:3584 MaxAccum:227
i:3125 idy_max:2209 MaxAccum:666
i:3130 idy_max:1114 MaxAccum:581
i:3135 idy_max:2262 MaxAccum:632
i:3140 idy_max:2212 MaxAccum:671
i:3145 idy_max:2221 MaxAccum:784
i:3150 idy_max:2255 MaxAccum:569
i:3155 idy_max:3597 MaxAccum:484
i:3160 idy_max:418 MaxAccum:521
i:3165 idy_max:418 MaxAccum:429
i:3170 idy_max:2031 MaxAccum:768
i:3175 idy_max:2254 MaxAccum:446
i:3180 idy_max:3617 MaxAccum:868
i:3185 idy_max:3317 MaxAccum:840
i:3190 idy_max:3265 MaxAccum:1125
i:3195 idy_max:3246 MaxAccum:1194
i:3200 idy_max:3206 MaxAccum:1114
i:3205 idy_max:3603 MaxAccum:1026
i:3210 idy_max:698 MaxAccum:519
i:3215 idy_max:3584 MaxAccum:514
i:3220 idy_max:3501 MaxAccum:672
i:3225 idy_max:1690 MaxAccum:445
i:3230 idy_max:2259 MaxAccum:919
i:3235 idy_max:1472 MaxAccum:873
i:3240 idy_max:975 MaxAccum:632
